
o    ：
o;   ；
oa   ！
ob   %
oc   ”
od   、
oe   +
og   ·
oo   ←
op   →
oq   ‰
or   -
ot   =
ow   ？
oy   @
oz   “
a 啊
aa 阿
aaaa 呵呵
aaaa 呵呵呵
aaan 阿安
aaba 阿坝
aabc 阿宝
aabd 阿拜
aabf 阿兵
aabg 阿棒
aabg 阿蚌
aabi 阿比
aabi 阿辟
aabj 阿半
aabk 阿本
aabm 阿扁
aabn 阿彪
aabo 阿伯
aabp 阿别
aabu 阿布
aabw 阿贝
aabx 阿宾
aabz 阿蚌
aacb 岙岸村
aacc 挨挨错错
aacd 腌菜
aaci 阿差
aacj 阿灿
aacs 阿从
aacv 阿衰
aacz 阿曾
aada 阿达
aadb 嗷嗷待哺
aadc 阿道
aadd 阿呆
aade 阿德
aadf 嗷嗷待哺
aadg 阿党
aadh 阿段
aadi 阿迪
aadj 腌蛋
aadm 阿殿
aado 阿朵
aadp 阿爹
aadr 阿斗
aads 呵冻
aadu 阿杜
aadv 阿堆
aadz 阿灯
aaee 阿俄
aaen 阿恩
aaer 捱捱儿
aaer 阿尔
aafa 阿法
aafj 阿凡
aafk 阿忿
aafm 哀哀父母
aafu 艾昂甫
aafu 阿福
aafw 阿飞
aafz 阿凤
aaga 阿伽
aagc 阿搞
aagd 阿该
aage 阿哥
aagf 哀阿国赋
aagf 阿怪
aagg 阿冈
aagh 阿关
aagj 阿甘
aagk 阿根
aagl 阿光
aago 腌过
aagq 阿瓜
aagr 阿狗
aags 阿公
aagu 阿姑
aagv 阿桂
aagw 阿给
aaha 呵呵
aaha 呵呵呵
aahb 阿浑
aahc 腌好
aahd 阿海
aahe 呵呵
aahe 呵呵呵
aahe 阿和
aahj 阿含
aahl 阿晃
aaho 阿和
aahq 阿华
aahr 阿侯
aahs 阿洪
aahu 呵护
aahu 阿和
aahv 阿会
aahw 阿黑
aahz 阿恒
aaia 阿差
aaib 啊春
aaib 阿春
aaic 阿超
aaid 阿差
aaie 阿彻
aaig 阿厂
aaih 阿川
aaii 呵斥
aaij 阿谄
aaik 阿臣
aair 阿丑
aais 阿虫
aaiu 阿初
aaiz 阿城
aaiz 阿盛
aajb 阿俊
aajf 阿井
aajh 阿娟
aaji 锕系
aaji 阿奇
aaji 阿给
aajj 安安静静
aajk 阿伽
aajl 阿强
aajm 腌尖
aajn 阿胶
aajp 阿姐
aajt 阿九
aaju 阿居
aajx 阿金
aaka 阿卡
aakb 阿坤
aakd 阿凯
aake 呵呵
aake 呵呵呵
aakf 阿会
aakg 啊康
aakg 阿康
aakj 阿坎
aakk 阿肯
aakl 阿况
aakr 阿扣
aaku 阿酷
aala 阿拉
aalc 阿劳
aale 阿乐
aalf 呵令
aalg 阿朗
aali 阿里
aalj 阿兰
aall 阿亮
aaln 阿辽
aalo 阿埃罗
aalo 阿洛
aalp 啊列
aalr 阿搂
aals 阿龙
aalu 暗矮鲈
aalu 阿绿
aalv 阿绿
aalw 锕类
aama 阿么
aama 阿妈
aamc 阿茂
aamd 阿买
aame 阿么
aamf 阿明
aamg 阿芒
aami 阿米
aamj 阿曼
aamk 阿们
aamn 阿渺
aamo 阿么
aamo 阿嬷
aamr 阿某
aamt 阿缪
aamu 阿木
aamw 阿妹
aamx 阿敏
aamz 阿盟
aan 腌
aana 阿娜
aana 阿那
aanc 阿挠
aand 阿奶
aane 阿那
aanf 阿宁
aang 阿囊
aani 阿尼
aanj 阿南
aanl 阿娘
aann 阿脲
aano 阿娜
aano 阿诺
aano 阿那
aanr 腌
aanr 阿耨
aans 阿侬
aant 阿牛
aanu 阿努
aanv 阿女
aanw 阿那
aao 呵
aaog 吖
aaoo 啊哦
aaoo 阿喔
aaop 啊
aaot 呵
aaot 嗄
aaou 阿欧
aapa 阿怕
aapf 阿平
aapi 阿辟
aapj 阿潘
aapm 阿扁
aapm 阿片
aapn 阿飘
aapo 阿婆
aapp 矮矮胖胖
aapt 阿
aapu 阿普
aapw 啊呸
aapw 阿呸
aaqf 阿倾
aaqh 阿全
aaqi 呵气
aaqi 阿奇
aaqk 阿卡
aaql 阿强
aaqm 呵欠
aaqn 阿巧
aaqp 阿伽
aaqq 挨挨抢抢
aaqs 阿琼
aaqt 阿丘
aaqu 阿屈
aaqx 阿沁
aaqy 阿确
aarc 阿桡
aare 阿热
aarg 阿让
aari 阿日
aaro 阿若
aarr 腌肉
aars 啊荣
aarv 阿瑞
aasa 阿萨
aasc 阿嫂
aase 阿瑟
aase 阿色
aasg 阿桑
aasi 阿斯
aasj 阿三
aask 阿森
aaso 阿索
aass 阿松
aasu 阿苏
aata 阿他
aatb 阿吞
aatc 阿桃
aatd 阿太
aate 阿特
aatf 阿婷
aatg 阿堂
aati 阿嚏
aatj 阿坦
aato 阿托
aatr 吖头
aats 阿佟
aaua 阿厦
aaub 阿顺
aauc 阿绍
aaud 阿色
aaue 阿奢
aauf 阿衰
aaug 阿上
aaui 啊是
aauj 阿山
aauk 阿婶
aauo 阿烁
aauu 阿叔
aauv 阿水
aauv 阿谁
aauw 阿谁
aauz 啊胜
aauz 阿盛
aava 阿扎
aavc 阿着
aave 阿哲
aave 阿着
aavg 阿丈
aavi 腌制
aavj 阿湛
aavk 啊真
aavl 安岸庄
aavl 阿庄
aavo 阿卓
aavo 阿着
aavs 阿中
aavu 阿朱
aavz 阿政
aawa 艾奥瓦
aawa 阿佤
aawg 阿旺
aawj 阿万
aawk 阿文
aawo 阿喔
aawu 阿乌
aawu 阿喔
aawv 艾奥瓦州
aaww 安安稳稳
aawz 阿翁
aaxb 阿寻
aaxf 阿兴
aaxi 锕系
aaxk 阿下
aaxk 阿厦
aaxm 阿咸
aaxn 阿小
aaxs 阿兄
aaxt 阿修
aaxu 阿旭
aaxx 呵芯
aaxx 安安心心
aaxy 阿雪
aaya 啊呀
aaya 阿雅
aayb 阿云
aaye 阿爷
aayf 阿婴
aayg 呵痒
aayh 啊元
aayi 阿姨
aayj 哀哀欲绝
aayo 啊哟
aayr 啊有
aayr 阿右
aays 阿勇
aayu 呵欲
aayx 阿隐
aayy 阿乐
aaz 锕
aaza 腌臜
aaza 阿扎
aazc 阿灶
aaze 呵责
aazi 阿紫
aazj 阿赞
aazo 嗄佐
aazp 锕
aazs 阿纵
aazu 阿租
aazz 阿曾
ab 安保
aba 爱不爱
abai 爱不爱
abbd 按兵不动
abbl 鞍斑镖鲈
abbu 哀兵必胜
abci 奥拜兹
abdg 安邦定国
abdi 安步当车
abdj 安步当车
abdk 暗孢盾壳
abdl 艾伯蒂炉
abdq 暗孢盾壳
abdy 阿鼻地狱
abdz 奥苯达唑
abev 爱博而情不专
abfb 艾白粉病
abfy 矮蝙蝠鱼
abgm 奥巴格姆
abgu 奥波根鼠
abha 艾卜哈
abhc 阿布哈兹
abhl 胺苯磺隆
abhs 艾宾浩斯
abhx 氨薄荷醑
abhz 阿布哈兹
abj 矮半截
abjb 按部就班
abjt 凹瓣苣苔
abjy 鞍斑锦鱼
abjz 阿崩叫狗越叫越走
abkw 埃比克瓦
abl 阿波罗
abla 安贝氯铵
ablb 奥班伦
ablf 按比例发
ablh 艾邦拉荷
abli 按比例
abli 按比例尺
ablj 奥卑利街
ablk 爱别离苦
abll 暗伯利罗
ablm 鞍不离马
ablo 阿波罗
ablx 埃伯琳
abmy 奥巴梅杨
abnt 昂邦牛
abnx 埃伯内腺
abpu 艾伯普
abqu 鞍斑前鲨
abrb 安部润
absb 埃贝赛保
absi 阿巴斯
absj 奥伯斯阶
abte 奥必特
abti 爱保贪重
abtl 艾伯塔龙
abtn 阿丙条
abts 安必同
abtu 埃比图
abtv 爱保贪重
abuj 案兵束甲
abup 奥勃抒片
abuu 爱不释手
abvb 阿布扎比
abvg 安邦治国
abvj 安部政吉
abwe 爱巴物儿
abwl 阿变为罗
abwt 呵壁问天
abww 安不忘危
abwy 安不忘虞
abxk 安吡昔康
abxl 鞍斑小鲈
abxu 呵笔寻诗
abyb 埃博伊贝
abye 阿倍野
abzb 阿布扎比
abzi 奥拜兹
abzu 哀不自胜
abzu 爱包族
ac 按错
acai 奥村爱
acan 暗差暗
acdz 奥村登
acfg 哀萃芳
acgh 矮丛光蒿
acgu 哀此孤生
ache 艾灿河
achv 奥菜惠
acjf 奥村靖
acjj 按测距机
acla 埃兹拉
aclu 安慈路
aclv 安蔡楼镇
acmx 艾灿民
acqh 矮翠雀花
acqi 昂藏七尺
acqm 艾措千
acrh 爱才如渴
acrh 爱才若渴
acrk 爱才如渴
acrk 爱才若渴
acrm 爱财如命
acsu 矮刺苏属
acsv 矮刺苏属
acuj 暗藏杀机
acvc 奥村知策
acvk 拗参针
acwk 安丛文
acxj 暗藏玄机
acxw 奥村夏未
acyf 奥村英夫
acyi 奥菜翼
acyj 安粗岩
ad 安定
adbc 爱丁堡
adbe 桉大蝙蛾
adbm 氨蛋白酶
adbx 阿得博乡
addb 矮墩墩
addj 阿颠底迦
adds 阿迪达斯
ade 安道尔
adec 阿戴尔村
adee 爱朵儿儿
adei 安道尔城
adel 奥黛尔拉
ader 安道尔
adfn 阿地砜钠
adhc 爱对恨错
adhe 爱达荷
adhg 呵掉悔盖
adhq 安定化
adhq 爱德华
adhs 暗滴花梢
adhu 暗滴花梢
adhy 傲刀缳莺
adic 暗渡陈仓
adig 爱赌成鬼
adjd 阿地瞿多
adjg 氨丁基胍
adjj 阿石极阶
adjn 阿澄佳奈
adkr 腌底口
adl 奥地利
adla 阿蒂拉
adld 奥地利帝
adlf 爱德玲
adlg 案达罗国
adli 奥地利
adli 暗地里
adlj 阿地力江
adln 氨喋呤钠
adlu 安杜路兽
adlx 桉牍劳形
adly 安堵乐业
admd 阿地目帝
admg 暗淡无光
adni 安东尼
adnl 鞍带拟鲈
adpe 艾蒂坡尔
adpp 奥氮平片
adqd 阿地瞿多
adqf 爱地清
adqh 安道全
adqh 阿对泉
adqy 暗单鳍鱼
adrg 安堵如故
adrk 爱的人
adsb 阿狄森病
adsd 奥德赛
adse 敖德斯尔
adsq 昂丹司琼
adsu 安第斯山
adtp 胺碘酮片
adts 胺碘酮
adtv 胺碘酮针
aduz 艾迪生
advk 隘洞镇
advu 奥赌注兽
adwg 暗淡无光
adwn 安度晚年
adxl 傲刀玄龙
adxl 安定乡
adxl 鳌石乡
adxw 阿党相为
adxx 挨达辛
adya 艾狄亚
adym 爱盾余墨
adyn 埃蒂耶纳
adyx 安杜因
adyy 安堵乐业
adyz 矮大叶藻
adzk 安电子科
ae 挨饿
aebs 阿尔卑斯
aebx 澳尔滨
aeby 阿尔巴尼亚
aebz 氨二泵
aedm 安尔碘
aef 阿尔法
aefa 阿尔法
aegc 矮鹅观草
aegf 哀阿国赋
aegh 敖尔圪壕
aeiz 安二成
aeje 阿尔及尔
aejy 阿尔及利亚
aeke 澳蛾科
aekt 阿尔卡特
ael 爱尔兰
aele 安尔乐
aelj 爱尔兰
aemm 安尔眠
aenf 安儿宁
aent 氨二泥桶
aeqt 阿尔卡特
aesl 阿儿厮兰
aest 阿尔斯通
aetd 阿尔泰
aets 埃厄忒斯
aeub 奥二氏病
aeuf 奥二氏法
aevk 安莪镇
aevl 廒而庄
aewy 埃二尾蚜
aexx 安尔欣
aeyy 埃二尾蚜
aeyy 安尔乐
af 安分
afay 艾风艾言
afbi 艾扶必
afbt 氨酚巴妥
afbu 安珐布
afcb 安阜村
afcs 艾福聪
afdb 埃弗顿
afdd 埃弗顿队
afdy 爱飞的鱼
afdz 奥酚达唑
afer 爱夫尔
afet 埃菲尔铁塔
afgm 氨非咖敏
afgm 阿酚咖敏
afgn 埃夫戈尼
afgp 阿酚咖片
afgs 阿房宫
afh 阿富汗
afha 艾弗哈
afhb 奥伏赫变
afhj 阿富汗
afhz 奥夫豪泽
afis 傲凡冲
afjf 挨风缉缝
afjm 氨非咖敏
afjm 阿酚咖敏
afjp 阿酚咖片
afka 阿夫卡
afkl 黯幡困灵
afkm 氨非咖敏
afkm 阿酚咖敏
afkp 阿酚咖片
afky 挨坊靠院
aflb 奥夫伦病
afld 阿费莱
afli 鳌愤龙愁
aflj 阿夫拉季
afll 阿夫利力
afln 奥夫拉尼
afls 埃夫隆
aflu 安阜路
aflw 阿夫雷乌
aflx 奥复林
aflz 氨酚氯宗
afmi 氨氟醚
afmj 奥夫曼
afmm 安芬盲鳗
afms 氨复命素
